# name,lat,lon - place nodes from OpenStreetMap, Greater Melbourne bbox
Abbotsford,-37.8046,144.9989
Aberfeldie,-37.7596,144.8975
Aintree,-37.7194,144.6694
Airport West,-37.7223,144.8835
Albanvale,-37.7461,144.7686
Albert Park,-37.8452,144.9571
Albion,-37.7764,144.8161
Almurta,-38.4489,145.5828
Alphington,-37.7804,145.0309
Altona,-37.8602,144.8137
Altona Meadows,-37.8814,144.7845
Altona North,-37.8378,144.8343
Anderson,-38.5262,145.4467
Ardeer,-37.7759,144.8015
Armadale,-37.8568,145.0207
Armstrong Creek,-38.2341,144.371
Arthurs Creek,-37.5837,145.2071
Arthurs Seat,-38.3543,144.9537
Ascot Vale,-37.777,144.9137
Ashburton,-37.8674,145.0807
Ashwood,-37.8667,145.1022
Aspendale,-38.0219,145.1024
Aspendale Gardens,-38.0221,145.1198
Attwood,-37.667,144.8849
Avalon,-38.0847,144.4287
Avondale Heights,-37.7615,144.8621
Avonsleigh,-37.9208,145.4688
Bacchus Marsh,-37.6752,144.4366
Badger Creek,-37.7015,145.5329
Balaclava,-37.8703,144.9947
Balliang,-37.8333,144.3492
Balliang East,-37.793,144.4183
Balnarring,-38.3708,145.1171
Balnarring Beach,-38.3912,145.1201
Balwyn,-37.8092,145.0834
Balwyn East,-37.8033,145.1017
Balwyn North,-37.792,145.0842
Bangholme,-38.0484,145.1721
Barringo,-37.4179,144.6299
Barwon Heads,-38.2748,144.4881
Bass,-38.4842,145.4687
Baxter,-38.201,145.1569
Bayles,-38.177,145.5732
Bayswater,-37.8454,145.2648
Bayswater North,-37.826,145.2819
Beacon Cove,-37.8402,144.9312
Beaconsfield,-38.0403,145.3831
Beaconsfield Upper,-37.9985,145.4248
Beagleys Bridge,-37.8781,145.3735
Beaumaris,-37.9822,145.0389
Belgrave,-37.9121,145.3552
Belgrave Heights,-37.9259,145.3528
Belgrave South,-37.9424,145.3573
Bell Park,-38.1077,144.3384
Bell Post Hill,-38.0973,144.3236
Bellfield,-37.7531,145.0385
Belmont,-38.1786,144.3421
Bena,-38.4109,145.7616
Bend of Islands,-37.698,145.2807
Bennettswood,-37.8492,145.1099
Bentleigh,-37.9185,145.0409
Bentleigh East,-37.922,145.0666
Berwick,-38.0404,145.3481
Beveridge,-37.4713,144.9746
Big Pats Creek,-37.7647,145.7508
Bittern,-38.3376,145.1773
Black Rock,-37.9707,145.0213
Blackburn,-37.8217,145.1523
Blackburn North,-37.8054,145.1543
Blackburn South,-37.8388,145.1488
Blackwood,-37.4712,144.3065
Blackwood Forest,-38.4942,145.6168
Blairgowrie,-38.3687,144.7723
Blind Bight,-38.2142,145.3378
Bolinda,-37.4339,144.748
Bonbeach,-38.0631,145.1276
Boneo,-38.4063,144.9006
Bonnie Brook,-37.6948,144.6711
Boronia,-37.8563,145.286
Botanic Ridge,-38.1414,145.2566
Box Hill,-37.8215,145.1261
Box Hill North,-37.8057,145.1296
Box Hill South,-37.8366,145.1234
Braeside,-38.0005,145.123
Braybrook,-37.7867,144.8548
Breakwater,-38.1824,144.3735
Breamlea,-38.2964,144.3898
Briar Hill,-37.7064,145.1216
Brighton,-37.9082,144.9958
Brighton East,-37.9172,145.0164
Broadmeadows,-37.6833,144.9323
Brookfield,-37.6993,144.5406
Brooklyn,-37.8161,144.8415
Brunswick,-37.7665,144.9613
Brunswick East,-37.7689,144.9777
Brunswick West,-37.7633,144.9426
Bulla,-37.6348,144.8027
Bulleen,-37.7689,145.0872
Buln Buln,-38.0984,145.9413
Bundoora,-37.6982,145.0597
Bunyip,-38.0971,145.7209
Burnley,-37.8296,145.0175
Burnside,-37.7494,144.753
Burnside Heights,-37.7324,144.7556
Burnt Bridge,-37.7971,145.2561
Burwood,-37.8496,145.1114
Burwood East,-37.8536,145.1504
Buxton,-37.4238,145.7093
Cairnlea,-37.7593,144.7878
Calder Park,-37.6763,144.7611
Caldermeade,-38.246,145.5381
Camberwell,-37.8385,145.0741
Campbellfield,-37.6641,144.9596
Cannons Creek,-38.2115,145.3113
Canterbury,-37.8243,145.0758
Cape Schanck,-38.4617,144.8975
Cape Woolamai,-38.5313,145.3358
Capel Sound,-38.3737,144.8756
Cardinia,-38.1436,145.4178
Carlton,-37.8004,144.9684
Carlton North,-37.7846,144.9729
Carnegie,-37.8934,145.0559
Caroline Springs,-37.7341,144.737
Carrum,-38.0767,145.128
Carrum Downs,-38.1003,145.1789
Catani,-38.1948,145.6413
Caulfield,-37.8841,145.0264
Caulfield East,-37.8813,145.0421
Caulfield North,-37.8708,145.0218
Caulfield South,-37.8947,145.0249
Chadstone,-37.8823,145.1001
Charlemont,-38.2097,144.3687
Chartwell,-37.7973,144.6457
Chelsea,-38.0497,145.1214
Chelsea Heights,-38.0395,145.1328
Cheltenham,-37.9634,145.0616
Chilwell,-38.1563,144.3453
Chirnside Park,-37.7386,145.3143
Christmas Hills,-37.6528,145.3206
Chum Creek,-37.6072,145.4915
Clarinda,-37.9431,145.106
Clarkefield,-37.4835,144.748
Clayton,-37.9158,145.1314
Clayton North,-37.9038,145.1235
Clayton South,-37.932,145.1245
Clematis,-37.9341,145.4176
Clifton Hill,-37.7904,144.9975
Clifton Springs,-38.1531,144.5727
Clyde,-38.1326,145.3381
Clyde North,-38.0949,145.3628
Cobblebank,-37.7063,144.6026
Coburg,-37.745,144.9643
Coburg North,-37.7243,144.9675
Cockatoo,-37.9359,145.4933
Coimadai,-37.5904,144.4882
Coldstream,-37.7291,145.3784
Collendina,-38.2657,144.5453
Collingwood,-37.8021,144.9881
Connewarre,-38.2622,144.3979
Coolaroo,-37.6568,144.9346
Cora Lynn,-38.1437,145.6043
Corinella,-38.4146,145.4312
Corio,-38.0741,144.3586
Coronet Bay,-38.4377,145.4363
Cottles Bridge,-37.6234,145.2175
Cowes,-38.4502,145.239
Craigieburn,-37.5901,144.9108
Cranbourne,-38.1087,145.2834
Cranbourne East,-38.1081,145.3056
Cranbourne North,-38.0775,145.2989
Cranbourne South,-38.1578,145.2624
Cranbourne West,-38.1022,145.2517
Cremorne,-37.829,144.9928
Crib Point,-38.3524,145.203
Croydon,-37.7914,145.2815
Croydon Hills,-37.7744,145.2661
Croydon North,-37.7737,145.2858
Croydon South,-37.8155,145.2781
Curlewis,-38.1695,144.5458
Dales Creek,-37.5219,144.3032
Dallas,-37.6708,144.9354
Dalmore,-38.1868,145.4245
Dandenong,-37.9875,145.2148
Dandenong North,-37.9558,145.2143
Dandenong South,-38.028,145.2209
Darley,-37.6377,144.4263
Darraweit Guim,-37.4019,144.894
Deanside,-37.7291,144.7041
Deepdene,-37.8121,145.0664
Deer Park,-37.7687,144.7713
Delahey,-37.7198,144.7773
Derrimut,-37.7988,144.7761
Devon Meadows,-38.162,145.3025
Dewhurst,-37.9791,145.4691
Diamond Creek,-37.667,145.1587
Diggers Rest,-37.628,144.721
Dingley Village,-37.9756,145.1256
