Aaran Close|Lachlan Drive|-37.97124,145.26230
Abacus Lane|Merano Circuit|-38.12421,145.23117
Abayo Crescent|Encore Boulevard|-38.12683,145.23538
Abayo Crescent|Jeepster Way|-38.12687,145.23329
Abbey Court|Conley Street|-37.98182,145.17924
Abbey Road|Ormond Road|-38.06492,145.29632
Abbey Road|Provence Place|-38.06306,145.29672
Abbey Road|Saint Maximin Court|-38.06271,145.29864
Abbey Road|St Remy Court|-38.06259,145.29778
Abbeygate Street|Eastgate Street|-37.90431,145.08922
Abbeygate Street|North Road|-37.90999,145.08920
Abbeygate Street|Schoolhall Street|-37.90731,145.08970
Abbeygate Way|Elmsford Crescent|-38.09922,145.25233
Abbeygate Way|Saint Clair Avenue|-38.09910,145.25148
Abbin Avenue|Brosa Avenue|-37.93085,145.05005
Abbin Avenue|Delma Street|-37.93161,145.05260
Abbin Avenue|East Boundary Road|-37.93237,145.05670
Abbin Avenue|Melball Street|-37.93168,145.05311
Abbin Avenue|Mervin Street|-37.93207,145.05425
Abbin Avenue|Milford Street|-37.93222,145.05545
Abbin Avenue|Moor Street|-37.93153,145.05195
Abbin Court|Swaran Close|-37.92757,145.23561
Abbin Court|Tirhatuan Drive|-37.92766,145.23639
Abbington Avenue|Bellevue Road|-37.96231,145.04137
Abbington Avenue|Fairview Drive|-37.96119,145.04162
Abbington Avenue|Monterey Drive|-37.96060,145.04173
Abbott Road|Carl Court|-38.01020,145.26775
Abbott Road|Dansu Court|-38.00754,145.25606
Abbott Road|David Lee Road|-38.01025,145.26717
Abbott Road|Decor Drive|-38.00831,145.26205
Abbott Road|Hallam South Road|-38.01049,145.27240
Abbott Road|Wedgewood Road|-38.00754,145.25606
Abbott Street|Beach Road|-37.94841,145.00049
Abbott Street|Beaumont Street|-37.94888,145.00502
Abbott Street|Bluff Road|-37.95084,145.02129
Abbott Street|Collingwood Street|-37.94981,145.01249
Abbott Street|Dreadnought Street|-37.95045,145.01803
Abbott Street|Essex Street|-37.94854,145.00229
Abbott Street|Fernhill Road North|-37.94929,145.00821
Abbott Street|Gladstone Street|-37.94994,145.01364
Abbott Street|Harston Street|-37.94892,145.00532
Abbott Street|Mock Street|-37.94942,145.00924
Abbott Street|Neptune Street|-37.95063,145.01953
Abbott Street|Pellew Street|-37.95011,145.01505
Abbott Street|Pickett Street|-37.98768,145.20725
Abbott Street|Station Street|-37.94883,145.00458
Abbott Street|Trentham Street|-37.94906,145.00637
Abbott Street|Victory Street|-37.94968,145.01139
Abbott Street|Waltham Street|-37.94862,145.00293
Abbotts Road|Ausco Place|-38.03467,145.23632
Abbotts Road|England Street|-38.03245,145.21863
Abbotts Road|Frankston-Dandenong Road|-38.03172,145.21209
Abbotts Road|Gaine Road|-38.03528,145.24120
Abbotts Road|Monash Drive|-38.03528,145.24120
Abbotts Road|National Drive|-38.03448,145.23468
Abbotts Road|Park Drive|-38.03264,145.22019
Abbotts Road|Produce Drive|-38.03303,145.22228
Abbotts Road|Remington Drive|-38.03352,145.22735
Abbotts Road|South Gippsland Highway|-38.03446,145.24504
Abbotts Road|Taylors Road|-38.03378,145.22897
Abbottswood Close|Sandleford Place|-37.98671,145.12565
Abeckett Street|Hodges Street|-38.11572,145.14929
Abeckett Street|Madden Street|-38.11722,145.14898
Abercairn Drive|Amos Court|-38.05394,145.29361
Abercairn Drive|Baringa Park Drive|-38.05382,145.29429
Abercairn Drive|Churchmead Court|-38.05460,145.29349
Abercairn Drive|Loxford Court|-38.05525,145.29366
Abercairn Drive|Raleigh Drive|-38.05617,145.29409
Abercrombie Avenue|Homeleigh Road|-38.00960,145.16279
Abercrombie Avenue|Northumberland Drive|-38.01013,145.16244
Abercrombie Avenue|Portobello Street|-38.01125,145.16292
Abercrombie Avenue|Talisker Street|-38.01136,145.16369
Abercrombie Street|Axford Crescent|-37.92992,145.08328
Abercrombie Street|Old Dandenong Road|-37.93254,145.08247
Aberdeen Court|Meadowbrook Drive|-37.90828,145.17359
Aberdeen Drive|Angus Court|-37.95135,145.19906
Aberdeen Drive|Bakers Road|-37.95066,145.19690
Aberdeen Drive|Brahman Court|-37.95080,145.19786
Aberdeen Drive|Currajong Street|-37.95196,145.19952
Aberdeen Drive|Galloway Street|-37.95374,145.19931
Aberdeen Drive|Halton Road|-37.95550,145.19866
Aberdeen Drive|Illawarra Crescent|-37.95471,145.19882
Aberdeen Drive|Koonung Street|-37.95298,145.19945
Aberdeen Drive|Mirboo Street|-37.95232,145.19956
Aberdeen Road|Bay Road|-37.95474,145.02899
Aberfeldy Crescent|Calimbo Walk|-38.13020,145.23092
Aberfeldy Crescent|Charisma Circuit|-38.12979,145.22976
Aberfeldy Crescent|Firecrest Way|-38.12979,145.22976
Aberforth Place|Indra Street|-38.02890,145.27636
Abergeldie Avenue|Balmoral Avenue|-37.91453,145.04725
Abergeldie Avenue|Lindsay Street|-37.91453,145.04725
Abergeldie Avenue|Osborne Avenue|-37.91474,145.04937
Abergeldie Avenue|Windsor Avenue|-37.91465,145.04837
Abiku Road|Authentic Avenue|-38.12700,145.24188
Abiku Road|Karasi Road|-38.12601,145.24207
Abiku Road|Volunteer Avenue|-38.12550,145.24216
Aboyne Close|Haverbrack Drive|-37.93257,145.20476
Abrahams Drive|Conder Way|-37.97554,145.07209
Abrahams Drive|Humphrey Lane|-37.97512,145.07178
Abrahams Drive|Rowell Drive|-37.97598,145.07235
Abrehart Street|Doveton Avenue|-38.00130,145.24958
Absent Lane|Kiwi Crescent|-38.12290,145.23853
Acacia Avenue|Blackwood Avenue|-37.98213,145.08120
Acacia Avenue|Mimosa Avenue|-37.91204,145.09760
Acacia Avenue|Southern Road|-37.98295,145.08753
Acacia Avenue|Voumard Street|-37.91399,145.09605
Acacia Crescent|Gladesville Boulevard|-38.07514,145.14505
Acacia Crescent|Swallow Court|-38.07477,145.14422
Acacia Place|Ferntree Gully Road|-37.90036,145.13444
Acacia Street|Kathryn Street|-37.98493,145.24342
Acacia Street|Waratah Street|-37.98706,145.24261
Academic Lane|Flicka Boulevard|-38.10605,145.24996
Academic Lane|Lumeah Drive|-38.10614,145.25066
Academic Lane|Teacher Lane|-38.10610,145.25033
Academy Avenue|Alumnus Court|-37.90732,145.16519
Academy Avenue|Brandon Park Drive|-37.90709,145.16314
Academy Avenue|Cootamundra Drive|-37.90786,145.17143
Academy Avenue|Honeysuckle Avenue|-37.90815,145.17055
Academy Avenue|Regina Street|-37.90807,145.16941
Academy Avenue|Strada Crescent|-37.90752,145.16705
Access Way|Buontempo Road|-38.09514,145.17042
Access Way|Colemans Road|-38.08639,145.17105
