Aaran Close|-37.97124,145.26230
Abacus Lane|-38.12421,145.23117
Abayo Crescent|-38.12683,145.23538
Abbey Court|-37.98168,145.18028
Abbey Road|-38.06271,145.29864 -38.06478,145.29637
Abbeydale Court|-37.93361,145.18667
Abbeygate Street|-37.90442,145.09025 -37.90724,145.08972 -37.90992,145.08921
Abbeygate Way|-38.09922,145.25233
Abbin Avenue|-37.93237,145.05670 -37.93174,145.05329 -37.93085,145.05005
Abbin Court|-37.92766,145.23639
Abbington Avenue|-37.96231,145.04137
Abbott Road|-38.01049,145.27240 -38.01002,145.26893 -38.00996,145.26494 -38.00831,145.26205 -38.00773,145.25746 -38.01050,145.27248
Abbott Street|-37.98768,145.20725 -37.94834,145.00080 -37.94881,145.00445 -37.94929,145.00821 -37.95030,145.01673 -37.95082,145.02118 -37.94981,145.01249
Abbotts Road|-38.03173,145.21262 -38.03217,145.21637 -38.03264,145.22019 -38.03313,145.22417 -38.03366,145.22810 -38.03511,145.23986 -38.03414,145.23187 -38.03456,145.23533 -38.03472,145.24461 -38.03366,145.22810
Abbottswood Close|-37.98681,145.12643
Abeckett Street|-38.11572,145.14929
Abercairn Drive|-38.05617,145.29409
Abercrombie Avenue|-38.00960,145.16279
Abercrombie Street|-37.93254,145.08247 -37.92992,145.08328
Aberdeen Court|-37.90828,145.17359
Aberdeen Drive|-37.95550,145.19866 -37.95232,145.19956
Aberdeen Road|-37.95474,145.02899
Aberfeldy Crescent|-38.12979,145.22976
Aberforth Place|-38.02885,145.27602
Abergeldie Avenue|-37.91453,145.04725
Abiku Road|-38.12550,145.24216
Aboyne Close|-37.93257,145.20476
Abrahams Drive|-37.97512,145.07178
Abrehart Street|-38.00152,145.25140
Absent Lane|-38.12290,145.23853
Acacia Avenue|-37.98213,145.08120 -37.98253,145.08460 -37.91204,145.09760
Acacia Crescent|-38.07514,145.14505
Acacia Place|-37.90064,145.13442
Acacia Street|-37.98493,145.24342
Academic Lane|-38.10614,145.25066
Academy Avenue|-37.90787,145.16774 -37.90790,145.17135 -37.90709,145.16314
Access Way|-38.09514,145.17042 -38.09222,145.17106 -38.08825,145.17193
Accra Street|-37.99578,145.17800
Acer Street|-37.98557,145.23980
Acheron Close|-38.01234,145.27983
Acheron Court|-37.94198,145.03579
Acland Close|-37.93323,145.19981
Acland Court|-37.98010,145.18721
Acol Court|-37.93340,145.18543
Acorn Court|-37.93984,145.09712
Acre Rise|-38.04063,145.28265
Ada Court|-37.97226,145.19239
Ada Street|-37.93096,145.25186
Adaleigh Court|-37.92180,145.13043
Adam Avenue|-38.00014,145.26186 -37.99705,145.26230 -37.90355,145.19386
Adam Close|-37.91161,145.27222
Adam Court|-38.10185,145.25513 -37.98014,145.15411
Adam Street|-37.91836,145.02590
Adams Court|-37.94236,145.20743
Adams Street|-37.90325,145.07320
Adamson Drive|-37.97023,145.24574
Adare Close|-37.93057,145.18511
Addison Court|-37.93432,145.20355
Addlington Court|-38.05765,145.29962
Adela Court|-37.93271,145.20130
Adelaide Street|-37.97167,145.19979 -37.96903,145.20178 -37.91225,145.04116
Adele Close|-37.90488,145.19505
Adele Street|-37.98516,145.18930
Adelle Court|-38.11021,145.17686
Adelong Court|-38.07739,145.14704 -37.96028,145.22162
Adib Court|-38.12635,145.16037
Adina Avenue|-38.01990,145.10566
Adison Close|-38.00734,145.17156
Adley Place|-38.02255,145.26063
Admans Avenue|-38.10633,145.13367
Administration Road|-37.91240,145.13607
Admirala Avenue|-37.96402,145.22075 -37.96167,145.21877
Admirals Quay|-38.06689,145.14286
Adrian Place|-37.93412,145.24464
Adrian Street|-38.12655,145.29816 -38.13004,145.29746 -37.95888,145.15604 -37.93217,145.05694 -37.93283,145.06201
Advantage Drive|-38.01908,145.22520 -38.01958,145.22931
Advantage Road|-37.95119,145.03028 -37.95425,145.02971
Aegean Avenue|-38.02663,145.18373
Aenone Avenue|-37.97795,145.16763
Affinity Close|-38.00222,145.10021
Affinity Lane|-38.11793,145.23341
Affleck Street|-38.09535,145.29922
Affleck Way|-37.92608,145.26578
Affra Place|-38.02270,145.25209
Africa Way|-38.12414,145.23493
Afton Way|-38.02365,145.10153
Agana Avenue|-37.98238,145.17697
Agathea Court|-38.11998,145.16220
Age Street|-37.95826,145.07582
Agnes Street|-37.98442,145.03321 -37.97206,145.16700 -37.97269,145.17210 -37.91953,145.05465
Agnew Street|-37.90953,145.01118 -37.91267,145.01082
Agonis Street|-37.98465,145.23842 -37.98753,145.23794
Agostino Court|-38.00619,145.16093
Ahern Street|-37.94432,145.19372
Aiden Rise|-38.00512,145.29240
Aileen Court|-38.01696,145.28055
Ailsa Street|-37.95911,145.21200
Aimee Place|-37.91240,145.24641
Ainsleigh Court|-38.09628,145.27841 -38.00175,145.29661
Ainsley Avenue|-37.98170,145.17920
Ainslie Drive|-37.90531,145.17679 -37.90909,145.17706
Aintree Avenue|-37.92605,145.17915
Aintree Court|-37.93910,145.18661
Airedale Way|-37.92391,145.25974 -37.92501,145.26287 -37.92385,145.26615
Airlie Avenue|-37.97230,145.20383
Airlie Court|-37.91614,145.26149
Airlie Grove|-38.09363,145.13394 -38.09034,145.13458
Aisbett Close|-38.05780,145.26074
Aisha Crescent|-37.96930,145.13386
Ajana Court|-37.95148,145.20252 -37.90887,145.17599
Ajana Drive|-38.12555,145.23640
Ajax Drive|-37.90409,145.18535 -37.90465,145.18940
Akita Court|-37.99709,145.17943
Akuna Avenue|-37.90517,145.14732 -37.90759,145.14571
Alamanda Way|-38.08262,145.29507
Alameda Street|-37.99266,145.07547
Alamein Street|-37.95830,145.16978 -37.95773,145.16488
Alan Bird Drive|-38.06895,145.17021 -38.06800,145.17345 -38.06336,145.17475 -38.06025,145.17536 -38.06115,145.17973 -38.06319,145.18235
Alan Court|-37.93955,145.19430
Alan Place|-37.93745,145.24657
Alana Court|-38.00320,145.14337
Alandown Close|-37.90094,145.26015
Alarah Boulevard|-38.10906,145.23727 -38.10968,145.24105 -38.11017,145.24476 -38.11063,145.24821
Alaster Court|-38.03787,145.25305
Alba Street|-38.12202,145.16099
Alba Way|-38.07692,145.24250
Albany Court|-37.95922,145.19467 -37.97174,145.24563
Albany Crescent|-38.02375,145.10313 -38.02462,145.10687 -38.02653,145.10950
Albany Drive|-37.92738,145.17318 -37.93042,145.17256 -37.93332,145.17197 -37.92329,145.16925 -37.92382,145.17265 -37.92650,145.17343
Albany Road|-37.90286,145.11778 -37.90226,145.11276
Albatross Drive|-37.90342,145.26653
Albenca Street|-37.98226,145.07367 -37.97865,145.07436 -37.97596,145.07487
Albert Avenue|-37.95656,145.14491 -37.95370,145.14556 -37.94903,145.14646 -37.94599,145.14703
Albert Crescent|-37.92886,145.15344
Albert Park Way|-37.99474,145.15169
Albert Place|-37.98181,145.11749
Albert Road|-38.00370,145.26233 -38.00320,145.26578 -38.00365,145.26941 -38.00144,145.27157 -37.89890,145.05111
Albert Street|-38.00706,145.08869 -38.00878,145.09222 -38.00169,145.08455 -38.00415,145.08622 -37.99972,145.20859 -38.00013,145.21236 -37.95225,145.03661 -37.94828,145.03748
Alberton Drive|-38.09488,145.25827 -38.09238,145.25961
Albi Close|-38.06914,145.12924
Albida Parade|-38.07693,145.24407 -38.07669,145.24064
Albion Court|-37.97760,145.15828
Albion Place|-37.92554,145.20396
Alda Court|-37.91468,145.17061
Alden Court|-37.97279,145.07318
Alder Court|-38.11780,145.16280
Alder Way|-38.08931,145.29332
Alderberry Road|-38.00554,145.17410
Alderbrook Avenue|-37.92519,145.20269 -37.92789,145.20391
Alderney Road|-37.98112,145.15819 -37.97841,145.15839
Alderstone Rise|-38.12129,145.29927
Aldridge Court|-38.03311,145.28030
Aldridge Street|-37.97386,145.24208 -37.97632,145.24063
Aleja Court|-37.97754,145.16467
Alema Court|-38.04784,145.29157
Aleppo Crescent|-38.12056,145.15654
Aleppo Place|-38.08587,145.29478 -38.08565,145.29128
Alex Avenue|-37.94154,145.06773 -37.93986,145.07044 -37.90279,145.19103 -37.90537,145.19266 -37.90577,145.19606
Alex Scott Way|-37.99264,145.20649
Alexander Avenue|-37.97001,145.19748 -37.97340,145.19601 -37.97636,145.19542 -37.90579,145.11983 -37.90897,145.11924
Alexander Circle|-38.05930,145.14020
Alexander Court|-38.02065,145.12007
Alexander Street|-38.10444,145.28177 -38.10400,145.27810 -38.00412,145.26560 -38.00362,145.26164 -38.00333,145.25786 -37.93879,145.00769 -37.90639,145.01824 -37.92251,145.05366
Alexandra Street|-38.03429,145.10600
Alfa Court|-37.90923,145.27374
Alfonso Court|-38.04618,145.26024
Alford Street|-37.91141,145.00741 -37.91174,145.01085
Alfred Deakin Grove|-38.09028,145.20111
Alfred Grove|-37.91048,145.11718
Alfred Street|-37.97693,145.05356 -37.97641,145.04952 -38.01214,145.08896 -37.96833,145.17088 -37.97154,145.17026 -37.95264,145.04863
Alfreda Street|-37.94782,145.01885
Alice Court|-38.09891,145.20021 -37.97389,145.18216 -37.99750,145.26934
Alice Mary Road|-38.11159,145.24284
Alice Street|-37.97541,145.07909 -37.97273,145.07851 -37.91800,145.11615 -37.91757,145.11258 -37.91842,145.11954
Alicia Street|-37.94330,145.00145 -37.94378,145.00549
Alison Place|-38.01381,145.10535
Alison Street|-37.94360,145.04268 -37.91274,145.04370
Alkira Close|-37.93547,145.10192
Alkira Court|-38.06697,145.14471 -38.06603,145.28107
Alkoomi Court|-38.04670,145.26365
Allamanda Boulevard|-37.92616,145.27287 -37.92368,145.27135
Allambi Court|-37.93765,145.10110
Allan Street|-37.96842,145.17161 -37.99285,145.20431 -37.99003,145.20467
Allanby Grove|-37.92298,145.05720
Allandale Road|-37.98421,145.08958 -37.98027,145.09033
Allara Drive|-38.04596,145.25782
Allard Street|-37.90333,145.00366
Allawah Close|-37.98460,145.17133
Alleford Street|-37.91501,145.08423 -37.91555,145.08860
Allemby Drive|-38.09704,145.25492
Allen Court|-37.92754,145.19350
Allen Street|-37.94814,145.03676
Allendale Crescent|-37.91185,145.17259
Alleyne Avenue|-38.05579,145.12683 -38.05855,145.12841
Allfrey Street|-37.90432,145.02304
Alliance Lane|-37.90945,145.13406 -37.90875,145.13037
Alliance Street|-37.98070,145.18799
Allied Drive|-38.11061,145.19527 -38.10950,145.19130 -38.11116,145.18858
Allington Avenue|-38.00864,145.17442
Allison Avenue|-38.00123,145.24959 -38.00081,145.24602
Allister Road|-37.95719,145.16993
Allnutt Court|-37.96865,145.07505
Allnutt Parade|-37.96851,145.07396
Allnutt Street|-37.92601,145.03817
Allora Avenue|-37.90059,145.28913 -37.89883,145.28621
Allure Court|-38.12034,145.15807
Alluvian Way|-38.08813,145.19647
Allwen Court|-37.94241,145.11214
Alma Close|-37.93714,145.20536
Alma Court|-37.96869,145.25405 -37.95580,145.14588
Alma Crescent|-37.97460,145.19302
Alma Road|-38.02669,145.25522 -38.03042,145.25429 -37.98737,145.09148
Almond Drive|-37.98968,145.24508
Almond Terrace|-37.97511,145.11454
Almondbank Road|-38.11902,145.29283
Almurta Road|-37.92375,145.06645 -37.92718,145.06577
Alocasia Close|-37.92545,145.27259
Alpha Close|-38.04703,145.27029
Alpha Mews|-38.11787,145.19312
Alpina Street|-38.11967,145.15961
Alpine Crescent|-37.94397,145.19795 -37.94594,145.19553
Alpine Heath Way|-38.06706,145.24579
Alpine Walk|-38.03876,145.25486
Alray Drive|-37.96249,145.06912
Alsace Street|-37.97783,145.19754
Alston Court|-38.05664,145.28598
Altair Street|-37.96601,145.14123 -37.96369,145.14326
Alter Court|-38.12322,145.18804
Alumnus Court|-37.90732,145.16519
Alvanley Court|-37.93250,145.20245
Alvena Street|-37.97539,145.06222
Alverna Grove|-37.91211,145.00222
Alvina Street|-37.91969,145.10674
Alward Avenue|-37.93496,145.12240 -37.93444,145.11794
Alysha Avenue|-38.07458,145.24574 -38.07520,145.24939
Amalfi Drive|-37.97922,145.24511 -37.97682,145.24331
Amanda Court|-37.98936,145.17659 -37.99947,145.27643 -37.94001,145.24992
Amanda Drive|-38.10431,145.17202
Amara Circuit|-37.92134,145.10667
Amara Grove|-38.07583,145.24319
Amarillo Drive|-38.12555,145.23640 -38.12387,145.23370
Amaroo Drive|-38.03837,145.13685 -38.03948,145.13360 -38.03714,145.13106 -38.03565,145.13400
Amaryn Court|-37.94640,145.14099
Amayla Crescent|-38.10654,145.16584
Amazon Court|-37.91609,145.24517
Ambassador Circuit|-38.12821,145.23516
Amber Close|-37.97347,145.14916
Amber Court|-37.97345,145.07143
Amber Drive|-38.04701,145.27335
Amberley Avenue|-38.01934,145.09781
Amberley Crescent|-38.00226,145.21763 -38.00181,145.21390
Amberly Park Drive|-38.04705,145.29136 -38.04752,145.28769 -38.04911,145.28490 -38.04583,145.29484
Amblecote Crescent|-37.93329,145.19883 -37.93494,145.20188
Ambrie Crescent|-37.95596,145.17532 -37.95251,145.17482
Ambrose Avenue|-37.96242,145.03959
Ambrose Way|-37.93434,145.23612
Ambrosia Court|-37.98052,145.26115
Amelia Avenue|-37.90421,145.19963 -37.90690,145.19912
Amelia Street|-37.90981,145.02964 -37.90672,145.03024
Americain Way|-38.05169,145.21346 -38.04905,145.21431
Amersham Avenue|-37.96345,145.14642
Ames Street|-37.92495,145.24673
Amethyst Close|-38.12027,145.19658
Amhurst Drive|-38.07066,145.29538
Amico Walk|-37.99988,145.19969
Amiel Street|-37.94306,145.15757 -37.93912,145.15835
Amiens Street|-37.93290,145.01222
Amiriya Street|-37.92463,145.05849
Amity Way|-38.09051,145.26806
Amley Rise|-37.90902,145.28433
Amos Court|-38.05394,145.29361 -37.95681,145.13525
Amott Court|-38.01599,145.11290
Amron Street|-38.04077,145.13337
Amstel Mews|-38.11717,145.25219
Amy Court|-38.04247,145.28242 -37.97835,145.05786
Amy Mews|-37.99758,145.16948
Anarth Street|-37.90996,145.07130
Anchor Street|-38.01838,145.09632
Ancona Street|-37.98219,145.05946
Ancora Imparo Way|-37.91240,145.12854 -37.91428,145.13377
Andelana Avenue|-37.91525,145.17423 -37.91408,145.17735
Anderson Avenue|-37.90921,145.05655
Anderson Close|-38.02734,145.26018
Anderson Court|-37.97760,145.06081 -37.98284,145.24843
Anderson Road|-37.99058,145.14885
Anderson Street|-37.92721,145.03689
Andleigh Drive|-37.92642,145.19523 -37.92676,145.19875
Andleon Court|-37.94398,145.13249
Andleon Way|-37.98208,145.14825
Andover Court|-38.03340,145.27703 -37.93519,145.18632
Andre Court|-38.10172,145.26084
Andrea Claire Court|-38.09890,145.20173
Andrea Crescent|-38.07951,145.29394
Andretti Avenue|-38.07057,145.25996
Andrew Court|-37.94107,145.10155 -37.92694,145.25452
Andrew Street|-38.12060,145.14029 -38.03835,145.25655 -38.03560,145.25575 -37.95901,145.14840 -37.90824,145.09410 -37.90545,145.09469
Anfield Crescent|-37.92884,145.19323
