# name,lat,lon,kind,setting,parking_m,parking_type,neighbours_60m
2 Brothers Brewery,-37.9427,145.0688,pub,STANDALONE,353,surface,0
3 Sons Cafe,-37.996,145.183,cafe,STANDALONE,464,surface,0
4 Sista's Cafe,-37.982,145.0646,cafe,STRIP,84,surface,6
7-Eleven,-37.9736,145.1208,convenience,STANDALONE_PARKING,47,surface,1
7-Eleven,-37.9653,145.1726,convenience,STANDALONE_PARKING,55,surface,2
7-Eleven,-38.028,145.13,convenience,STANDALONE,102,surface,0
7-Eleven,-37.9851,145.2204,convenience,STANDALONE_PARKING,67,surface,0
7-Eleven,-37.9909,145.1496,convenience,STANDALONE_PARKING,21,surface,0
7-Eleven,-37.9723,145.1487,convenience,MALL,42,surface,2
7-Eleven,-37.9467,145.0225,convenience,STANDALONE,85,surface,1
A Dong,-37.9493,145.1517,butcher,STRIP,24,surface,19
A day in BKK,-38.0551,145.1169,restaurant,STANDALONE_PARKING,40,surface,3
A1 Supermarket,-37.9864,145.2116,convenience,STANDALONE_PARKING,27,surface,0
AB Bakery Dandenong,-37.9891,145.2141,cafe,STANDALONE_PARKING,39,surface,1
ARZ Lebanese Cusiine,-37.9901,145.2044,restaurant,STANDALONE,217,surface,0
Abra Kebab,-37.9867,145.2138,restaurant,STANDALONE_PARKING,72,multi-storey,2
Addictions,-37.9873,145.2129,cafe,STANDALONE_PARKING,14,surface,2
Adriano's Pizza & Pasta,-37.985,145.0945,restaurant,STANDALONE_PARKING,26,street_side,4
Afghan Delicious Kebab House,-37.9855,145.2121,restaurant,STRIP,43,surface,9
Afghan Fish & Chios,-37.985,145.2137,fast_food,STRIP,59,surface,7
Afghan Kabuli Sheer Yakh,-37.9855,145.2121,restaurant,STRIP,43,surface,9
Afghan Masala,-37.9872,145.2165,bakery,STANDALONE_PARKING,46,surface,0
Afghan Masala,-37.9867,145.2123,restaurant,STRIP,25,surface,10
Afghan Tasty Food,-37.9851,145.2137,restaurant,STRIP,53,surface,7
African Products,-37.9862,145.2152,supermarket,MALL,84,multi-storey,4
Ajisen Ramen,-37.9579,145.0533,restaurant,MALL,48,surface,16
Ajsai Carrum,-38.0754,145.1221,restaurant,STANDALONE_PARKING,43,surface,4
Albion Hotel,-37.9858,145.2137,pub,STANDALONE_PARKING,33,surface,2
Aldi,-37.9591,145.0549,supermarket,MALL,119,multi-storey,6
Aldi,-37.9706,145.0908,supermarket,MALL,70,surface,3
Aldi,-37.986,145.2167,supermarket,MALL,70,multi-storey,0
Aldi,-37.9924,145.1461,supermarket,MALL,64,surface,1
Aldi,-37.9922,145.1731,supermarket,MALL,69,surface,0
Aldi,-38.0767,145.1236,supermarket,STANDALONE_PARKING,40,surface,0
Aldi,-37.9834,145.2161,supermarket,STANDALONE_PARKING,73,surface,0
Aldi,-37.9558,145.0334,supermarket,STANDALONE_PARKING,24,surface,0
Aldi,-37.9616,145.1431,supermarket,STRIP,40,surface,9
Aldi,-37.9752,145.0677,supermarket,STANDALONE,88,surface,0
Amalia Euro Cheese,-37.9826,145.2028,cafe,STANDALONE_PARKING,70,surface,4
Amcal,-37.9925,145.1717,pharmacy,MALL,46,surface,1
Amphai Thai Groceries,-37.9484,145.1506,convenience,STRIP,32,surface,7
Amyan Halal Butcher,-37.987,145.2138,butcher,STANDALONE_PARKING,59,surface,2
Angkor Reach,-37.9487,145.1513,restaurant,STRIP,36,surface,19
Anloi Deli & Marinades,-37.9504,145.151,deli,MALL,24,surface,27
Apna Desh Grocery Shop,-37.9665,145.1748,convenience,STRIP,22,surface,16
Arco Cafe / Restaurant,-37.9474,145.0804,restaurant,STANDALONE,169,surface,0
Ariana Bakery,-37.9878,145.2129,bakery,STRIP,31,surface,6
ArtBar,-37.9445,145.0594,bar,STANDALONE,166,street_side,0
Asia,-37.9514,145.1515,butcher,MALL,59,street_side,17
Asian Bar,-37.9858,145.215,restaurant,STANDALONE,91,surface,4
Aspendale Cafe,-38.027,145.1024,cafe,STRIP,7,surface,6
Aspendale Gardens Charcoal Chicken,-38.0217,145.1181,fast_food,MALL,56,surface,4
Aspendale Gardens Fish & Chips,-38.0218,145.118,fast_food,MALL,42,surface,8
Aspendale Gardens Fruit Centre,-38.0223,145.1178,greengrocer,MALL,36,surface,6
Aspendale Gardens Noodle Bar,-38.0217,145.118,fast_food,MALL,49,surface,5
Astanbal Authentic Turkish Grill,-37.9948,145.1742,fast_food,STANDALONE_PARKING,20,surface,5
Astroluxe,-37.9357,145.0613,cafe,STRIP,8,street_side,9
BMNC,-37.9888,145.21,cafe,STANDALONE,99,surface,1
BP Shop,-38.0127,145.2053,convenience,STANDALONE,230,surface,0
BP Shop,-38.0124,145.1617,convenience,STANDALONE,119,surface,1
BP Shop,-37.986,145.1086,convenience,STANDALONE,213,surface,0
BP Shop,-37.9772,145.0666,convenience,STANDALONE_PARKING,66,surface,0
BP Shop,-37.9777,145.1467,convenience,STANDALONE,133,surface,0
BP Shop,-37.9449,145.078,convenience,STANDALONE,105,surface,0
BP Shop,-37.9784,145.2063,convenience,STANDALONE_PARKING,35,street_side,0
BP Shop,-38.0092,145.1135,convenience,STANDALONE,213,surface,0
BWR Liquor Supplies,-37.945,145.0768,alcohol,STANDALONE,89,surface,0
BWS,-37.9835,145.1329,alcohol,STANDALONE_PARKING,60,surface,5
BWS,-37.9663,145.0554,alcohol,STRIP,47,street_side,16
BWS,-37.9924,145.162,alcohol,STANDALONE,123,surface,1
BWS,-37.9627,145.1491,alcohol,STANDALONE_PARKING,17,surface,1
BWS,-37.9533,145.1518,alcohol,STANDALONE_PARKING,48,surface,1
BWS,-38.0538,145.116,alcohol,STRIP,69,surface,8
BWS,-38.0119,145.1607,alcohol,MALL,57,surface,1
BWS,-37.9588,145.0563,alcohol,MALL,77,multi-storey,2
BWS,-37.9743,145.205,alcohol,STANDALONE_PARKING,52,surface,1
BWS,-37.9489,145.0416,alcohol,STANDALONE_PARKING,47,street_side,4
BWS,-38.068,145.1431,alcohol,MALL,59,surface,6
Baba Chef Takeaway,-37.9522,145.1521,restaurant,STRIP,59,surface,11
Babalu's,-37.9579,145.0534,restaurant,MALL,39,surface,16
Babylon Groceries,-37.9827,145.2029,supermarket,STANDALONE_PARKING,65,surface,4
Bac 8,-37.9512,145.1518,restaurant,MALL,71,surface,20
Bad Shepherd Brewing,-37.9567,145.039,pub,STANDALONE,136,surface,0
Bakaloumas Fresh Fruit & Vegetable Market,-37.9609,145.1028,supermarket,STANDALONE_PARKING,8,surface,0
Bakers Delight,-37.9834,145.1327,bakery,STANDALONE_PARKING,67,surface,5
Bakers Delight,-37.9664,145.0557,bakery,STRIP,74,street_side,15
Bakers Delight,-38.0539,145.1161,bakery,STRIP,82,surface,11
Bakers Delight,-37.9839,145.0772,bakery,MALL,56,surface,1
Bakers Delight,-37.949,145.0409,bakery,STANDALONE_PARKING,46,surface,2
Bakers Delight,-37.9825,145.0642,bakery,STRIP,115,surface,9
Bakers Delight,-38.068,145.1433,bakery,MALL,42,surface,9
